time,duration / s,Lat,Lon,temperature / C,pressure / hPa,humidity / %,CO2 / ppm,SO2 / ppm
18:38:05,0,38.41515667,14.95335167,11.54,1000.43,44.77,481.4338148,0.296206618
18:38:07,2,38.41515167,14.953405,11.43,999.04,45.12,480.4804805,0.001614205
18:38:09,4,38.41517333,14.95345,11.33,997.67,45.31,479.5271462,-1.020177563
18:38:11,6,38.415195,14.953485,11.22,996.26,45.55,479.5271462,0.611783697
18:38:13,8,38.41518833,14.95350833,11.07,994.84,45.8,476.6671433,0.10330912
18:38:15,10,38.41518333,14.95356167,10.99,993.38,45.8,473.8071405,0.014527845
18:38:17,12,38.415185,14.95364,10.87,991.92,45.94,473.8071405,-0.200161421
18:38:19,14,38.41518667,14.95371333,10.79,990.45,45.84,470.9471376,0.269572236
18:38:21,16,38.41518667,14.95378167,10.68,989.05,45.7,468.0871348,0.577885391
18:38:23,18,38.41516833,14.95377,10.57,988.4,45.85,468.0871348,-0.475383374
18:38:25,20,38.41516667,14.95378667,10.49,988.62,46.54,465.2271319,0.691686844
18:38:27,22,38.41510333,14.95383833,10.42,988.71,46.72,462.367129,-0.597255851
18:38:29,24,38.41495667,14.95394667,10.4,988.56,46.92,457.6004576,0.104116223
18:38:31,26,38.41478,14.954075,10.38,988.43,46.87,457.6004576,-0.410008071
18:38:33,28,38.41459833,14.95421167,10.36,988.48,47.02,451.8804519,-0.231638418
18:38:35,30,38.414425,14.95435,10.33,988.49,47.06,451.8804519,0.150928168
18:38:37,32,38.41425667,14.95448667,10.3,988.47,47.15,446.1604462,-0.377723971
18:38:39,34,38.41406167,14.95461,10.31,988.43,47.29,437.5804376,0.365617433
18:38:41,36,38.41385,14.95472667,10.28,988.4,47.51,437.5804376,-0.597255851
18:38:43,38,38.41364667,14.95483333,10.25,988.45,47.75,428.0470947,-0.001614205
18:38:45,40,38.41343333,14.95494167,10.23,988.42,48.25,418.5137518,0.12267958
18:38:47,42,38.413205,14.95507167,10.23,988.4,48.48,418.5137518,-0.081517353
18:38:49,44,38.41296667,14.95520667,10.2,988.34,48.68,409.9337433,0.12267958
18:38:51,46,38.41274167,14.955325,10.21,988.44,48.67,401.3537347,-0.047619048
18:38:53,48,38.412535,14.95543167,10.21,988.55,48.57,401.3537347,-0.08393866
18:38:55,50,38.41234333,14.95553333,10.17,988.52,49.76,395.633729,-0.131557708
18:38:57,52,38.41214833,14.95564333,10.18,988.5,50.23,391.8203918,-0.030669895
18:38:59,54,38.41195333,14.95575,10.16,988.41,50.43,391.8203918,0.005649718
18:39:01,56,38.411765,14.95584667,10.13,988.43,50.53,389.9137232,-0.083131558
18:39:03,58,38.41157167,14.95594833,10.14,988.31,50.53,389.9137232,-0.016949153
18:39:05,60,38.41137833,14.95604833,10.13,988.44,50.46,389.9137232,-0.416464891
18:39:07,62,38.411185,14.95614833,10.12,988.47,50.2,391.8203918,-0.095238095
18:39:09,64,38.41097,14.95626,10.09,988.38,50.34,394.6803947,-0.685230024
18:39:11,66,38.41073833,14.95638,10.09,988.29,50.16,394.6803947,-0.815173527
18:39:13,68,38.41049667,14.95650333,10.1,988.32,50.31,396.5870633,-0.11622276
18:39:15,70,38.41024833,14.95663,10.1,988.2,50.67,398.4937318,-0.000807103
18:39:17,72,38.41001,14.95675,10.12,988.11,51.32,398.4937318,-0.292171106
18:39:19,74,38.40980167,14.95684667,10.12,988.42,51.39,399.4470661,-0.046811945
18:39:21,76,38.40960667,14.95695167,10.09,988.47,51.24,400.4004004,-0.504439064
18:39:23,78,38.40941333,14.95705,10.1,988.42,51.25,400.4004004,-0.092009685
18:39:25,80,38.40922167,14.95715,10.1,988.33,51.61,400.4004004,0.049233253
18:39:27,82,38.40902167,14.95724667,10.08,988.43,51.76,400.4004004,-0.439063761
18:39:29,84,38.40882167,14.95733833,10.09,988.48,51.71,400.4004004,-0.433414044
18:39:31,86,38.40863167,14.95743167,10.08,988.42,51.62,400.4004004,-0.387409201
18:39:33,88,38.40841667,14.95754,10.04,988.27,51.44,399.4470661,0.124293785
18:39:35,90,38.408185,14.957655,10.07,988.26,50.81,399.4470661,-0.899112187
18:39:37,92,38.40794333,14.95777333,10.08,988.25,50.56,399.4470661,-0.92251816
18:39:39,94,38.40770667,14.95789667,10.11,988.22,50.31,400.4004004,0.08716707
18:39:41,96,38.40748833,14.95800167,10.13,988.36,50.5,400.4004004,-0.489911219
18:39:43,98,38.40727167,14.958115,10.13,988.28,50.6,401.3537347,-0.708635997
18:39:45,100,38.407075,14.95821333,10.14,988.42,49.6,402.307069,-0.05811138
18:39:47,102,38.40689,14.958315,10.14,988.45,48.98,402.307069,-0.17433414
18:39:49,104,38.40670833,14.95840667,10.15,988.48,48.39,404.2137375,-0.505246166
18:39:51,106,38.40653,14.958495,10.16,988.47,49.08,407.0737404,-0.005649718
18:39:53,108,38.40634833,14.95858167,10.1,988.35,50.16,407.0737404,-0.062953995
18:39:55,110,38.40618167,14.95865833,10.21,988.57,52.07,408.980409,0.17756255
18:39:57,112,38.40614,14.95865667,10.18,988.26,51.83,412.7937461,0.315577078
18:39:59,114,38.406145,14.95865667,10.18,988.86,52.85,412.7937461,0.651331719
18:40:01,116,38.40614833,14.95865167,10.33,988.58,54.44,417.5604176,1.197740113
18:40:03,118,38.40615,14.95865167,10.4,988.58,55.32,424.2337576,2.205004036
18:40:05,120,38.40615,14.95865167,10.48,988.61,55.84,424.2337576,3.619047619
18:40:07,122,38.40615,14.95865167,10.52,988.54,54.45,431.8604319,4.146085553
18:40:09,124,38.40615,14.95865167,10.61,-158.67,55.36,442.347109,2.86117837
18:40:11,126,38.40615,14.95865167,10.68,988.49,54.7,442.347109,4.707021792
18:40:13,128,38.40615,14.95865167,10.68,988.33,54.44,453.7871205,4.475383374
18:40:15,130,38.40615,14.95865167,10.84,988.52,54.15,465.2271319,5.195318805
18:40:17,132,38.40615,14.95865167,10.92,988.48,53.97,465.2271319,5.287328491
18:40:19,134,38.40615,14.95865167,10.84,988.35,53.02,477.6204776,4.827280065
18:40:21,136,38.40615,14.95865167,11.04,988.53,54.03,488.1071548,4.615012107
18:40:23,138,38.40615,14.95865167,11.03,988.35,54.11,488.1071548,4.814366425
18:40:25,140,38.40615,14.95865167,11.18,988.52,53.72,497.6404976,4.939467312
18:40:27,142,38.40615,14.95865167,11.21,988.51,51.5,505.2671719,5.100887813
